image,artist,school,technique,timeframe,type,technique_macro
19337-14july.jpg,Childe HASSAM,american,oil,1851-1900,historical,oil
44058-8ambierl.jpg,Rogier van der WEYDEN,flemish,oil,1401-1450,religious,oil
38936-14abraha.jpg,Giovanni Battista TIEPOLO,italian,oil,1701-1750,religious,oil
43355-ambrose.jpg,Alvise VIVARINI,italian,oil,1451-1500,religious,oil
23980-sanluca3.jpg,Andrea MANTEGNA,italian,tempera,1451-1500,religious,tempera
16585-life_chr.jpg,GIOVANNI DA RIMINI,italian,tempera,1301-1350,religious,tempera
12483-10seven.jpg,Albrecht DÜRER,german,oil,1501-1550,religious,oil
13127-room.jpg,Pieter Janssens ELINGA,dutch,oil,1651-1700,interior,oil
12175-cro_f_2.jpg,DUCCIO di Buoninsegna,italian,tempera,1301-1350,religious,tempera
13755-pitti2.jpg,Ciro FERRI,italian,fresco,1651-1700,interior,fresco
18956-13altar.jpg,GUIDO DA SIENA,italian,tempera,1251-1300,religious,tempera
07321-venice.jpg,Giuseppe CANELLA,italian,oil,1801-1850,historical,oil
15171-coronat.jpg,GENTILE DA FABRIANO,italian,tempera,1351-1400,religious,tempera
43399-formosa0.jpg,Bartolomeo VIVARINI,italian,tempera,1451-1500,religious,tempera
38051-1redempt.jpg,Vrancke van der STOCKT,flemish,oil,1401-1450,religious,oil
41013-123portr.jpg,French UNKNOWN MASTER,french,oil,1551-1600,portrait,oil
02512-8pair1.jpg,Giuseppe ARCIMBOLDO,italian,oil,1551-1600,mythological,oil
26737-lunettes.jpg,MICHELANGELO Buonarroti,italian,drawing,1501-1550,religious,drawing
37105-1apostl4.jpg,Luca SIGNORELLI,italian,fresco,1451-1500,religious,fresco
41494-1view5.jpg,Italian UNKNOWN MASTER,italian,fresco,1451-1500,mythological,fresco
02513-8pair2.jpg,Giuseppe ARCIMBOLDO,italian,oil,1551-1600,mythological,oil
34301-maruce01.jpg,Sebastiano RICCI,italian,fresco,1701-1750,interior,fresco
12032-old_woma.jpg,Gerrit DOU,dutch,oil,1651-1700,genre,oil
36148-vault.jpg,Carlo SANDTNER,german,fresco,1601-1650,interior,fresco
30382-village.jpg,Luis PARET Y ALCAZÁR,spanish,oil,1751-1800,landscape,oil
00890-2scenes.jpg,Fra ANGELICO,italian,fresco,1401-1450,religious,fresco
