Index,model,dataset,image,image_path,img_url,true_artist,true_genre,true_style,true_school,true_technique,true_technique_macro,true_historical_period,true_wol_linear_vs_painterly,true_wol_plane_vs_recession,true_wol_closed_vs_open_form,true_wol_multiplicity_vs_unity,true_wol_absolute_vs_relative_clarity,pred_artist_1,pred_artist_2,pred_artist_3,pred_genre,pred_style,pred_technique,pred_school,pred_historical_period,pred_wol_linear_vs_painterly,pred_wol_plane_vs_recession,pred_wol_closed_vs_open_form,pred_wol_multiplicity_vs_unity,pred_wol_absolute_vs_relative_clarity,pred_short_description
0,gemini,waga,1,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1001_st-margaret-1518.jpg,,,,,,,,3.2,3.6,2.2,1.8,1.2,Giulio Romano,Parmigianino,Correggio,religious,Renaissance,oil,italian,1501-1550,2,4,2,4,4,"A female saint, identified by a halo, stands barefoot in a dark, rocky landscape. Dressed in blue and red drapery, she holds a crucifix staff and gazes downwards. At her feet, a large green dragon or serpent lies defeated, its mouth agape. A sparse, light-filled background with trees is visible in the upper right."
1,gemini,waga,2,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1002_sts-mark-james-and-jerome-with-the-dead-christ-borne-by-angels-1582.jpg!Blog.jpg,,,,,,,,3.6,3.8,2.2,5.0,4.6,Tintoretto,Paolo Veronese,Jacopo Bassano,religious,Baroque,oil,italian,1551-1600,5,5,5,5,5,"A vertical religious painting depicting Christ supported by angels on a cloud in the upper section. Below, three male figures are gathered: a seated man on a lion skin with a book, a standing man with a staff, and an older man in red robes. They look upwards towards the celestial vision. The scene features dramatic lighting, rich colors, and dynamic poses, set against a landscape and architectural elements."
2,gemini,waga,3,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1002_the-painter-jan-asselyn-1650.jpg!Blog.jpg,,,,,,,,4.8,2.2,1.8,2.0,1.2,Rembrandt van Rijn,Frans Hals,Bartholomeus van der Helst,portrait,Baroque,oil,dutch,1601-1650,4,4,3,5,4,"A half-length portrait depicts a man in a dark, wide-brimmed hat and coat, with a prominent white collar. He has a mustache and long, dark hair, gazing directly forward. Strong chiaroscuro illuminates his face and parts of his clothing, creating a dramatic contrast against the dark, muted background. Textural details are visible in the fabrics and skin."
3,gemini,waga,4,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1002_triptych-of-camerino-1482.jpg!Blog.jpg,,,,,,,,3.2,1.2,1.8,2.8,4.0,Andrea Mantegna,Carlo Crivelli,Giovanni Bellini,religious,Renaissance,oil,italian,1451-1500,1,2,1,2,1,"A Renaissance triptych depicts the Madonna and Child enthroned in the central panel, flanked by two saints on each side. The left panel shows an elderly saint holding keys and a book, accompanied by another figure. The right panel features a young saint in armor holding a banner and a model of a city, with a monk behind him. All figures are rendered with meticulous detail, rich drapery, and set within ornate architectural niches, characteristic of an altarpiece."
4,gemini,waga,5,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10046_railway-junction-near-bois-colombes-1886.jpg!Blog.jpg,,,,,,,,4.0,2.8,4.0,3.6,3.4,Paul Signac,Camille Pissarro,Georges Seurat,landscape,Impressionism,oil,french,1851-1900,4,5,4,4,4,"An urban landscape painting depicts a street scene with a prominent dark pole in the foreground. To the left, a wide street leads to a large building with multiple windows and a tall chimney in the background. To the right, a small wooden shed or workshop stands beside a fence, with a lone figure in blue at its entrance and several long objects leaning nearby. The visible brushwork captures light and shadow."
5,gemini,waga,6,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10051_saint-briac-courtyard-of-the-ville-hue-1885.jpg!Blog.jpg,,,,,,,,4.0,4.4,4.4,4.2,3.4,Armand Guillaumin,Camille Pissarro,Alfred Sisley,landscape,Impressionism,oil,french,1851-1900,5,5,5,4,5,"A vibrant landscape painting depicts a row of rustic houses with orange roofs and textured walls lining a dirt path that recedes into the distance. A golden-yellow sky dominates the upper portion, while a lush, textured field of tall grass fills the foreground. In the background, a distinct building with a purple roof stands on a distant hill, under a hazy sky. The brushwork is loose and expressive, emphasizing light and color."
6,gemini,waga,7,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1009_study-for-the-disputa-1509.jpg!Blog.jpg,,,,,,,,4.4,5.0,3.6,4.8,4.6,Raphael,Annibale Carracci,Michelangelo,religious,Renaissance,drawing,italian,1501-1550,2,4,3,4,3,"A sepia-toned pen and wash drawing depicts a complex multi-figure composition, likely a religious or mythological scene. The artwork is divided into earthly and heavenly realms. In the lower section, robed figures gather around a central point, while above, divine or saintly figures are seated on clouds, accompanied by putti. Architectural elements frame the left side, and dynamic, idealized forms are rendered with expressive lines and subtle shading."
7,gemini,waga,8,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/100_baptism-of-christ-1584.jpg!Blog.jpg,,,,,,,,3.4,3.6,4.4,4.4,3.8,Annibale Carracci,Lodovico Carracci,Tintoretto,religious,Baroque,oil,italian,1551-1600,4,5,4,4,4,"A dramatic religious painting depicting the Baptism of Christ in a rocky, natural setting. John the Baptist pours water over Jesus, who holds a staff. Surrounding them are several muscular male figures, some partially nude, reacting to the event with gestures and expressions. In the background, a woman with a child observes. The composition is dynamic, with strong chiaroscuro and rich colors, emphasizing the emotional intensity of the scene."
8,gemini,waga,9,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/1010_caroline-duchess-of-marlborough-1762.jpg!Blog.jpg,,,,,,,,4.8,2.6,2.4,2.8,1.8,Thomas Gainsborough,Joshua Reynolds,George Romney,portrait,Naturalism / Luminism / Tonalism,oil,english,1751-1800,4,4,4,4,4,"A formal portrait of a seated woman in 18th-century attire, holding a small, long-haired dog. She wears a light-colored gown with a blue overdress, a pearl choker, and a pink rose on her bodice. Her gaze is directed slightly to the left. The background is a dark, painterly landscape with trees, suggesting an outdoor setting. The overall mood is elegant and refined."
9,gemini,waga,10,,https://crw2020.s3-us-west-2.amazonaws.com/random-real-art/10179_the-boy-at-the-fence-1915.jpg!Blog.jpg,,,,,,,,5.0,3.6,4.4,3.2,2.8,Konstantin Korovin,Valentin Serov,Igor Grabar,genre,Impressionism,oil,russian,1851-1900,5,5,4,4,4,"A young boy in a dark tunic stands in a sunlit grassy field. Behind him, a rustic wooden fence stretches across the mid-ground, leading to red and grey-roofed buildings. Distant hills are visible under a bright blue sky dotted with soft, pink-tinged clouds. The painting features loose, visible brushstrokes and vibrant colors, capturing an outdoor scene."
